Facility/Project Name,CWNS Number,Cat. I ON,Cat. II ON,All Cat. III ON,All Cat. IV ON,Cat. V ON,All Cat VI ON,Cat. X ON,Total ON,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
HELENA WWTP,30000050001,"$2,566,849",,"$2,770,865","$7,828,954",,,,"$13,166,668",4.1,6,6,"29,000",,"4,200",,"29,000","44,000",,,,"44,000",MT0022641,Individual Permit,"HELENA, CITY OF",Lewis and Clark,Upper Missouri,10030101,0th Congressional District,MT,8,MAP
KALISPELL WWT FACILITY,30000051001,"$25,061,479",,"$614,700",,,,,"$25,676,179",2,3.1,6.5,"16,000","5,000",,,"21,000","39,536","5,500",,,"45,036",MT0021938,Individual Permit,"KALISPELL, CITY OF",Flathead,Flathead Lake,17010208,0th Congressional District,MT,8,MAP
GREAT FALLS STP,30000053001,"$11,443,943",,"$3,349,363","$3,778,769",,,,"$18,572,075",9.9,21.1,21.1,"56,000",914,,,"56,914","75,500","2,425",,,"77,925",MT0021920,Individual Permit,"GREAT FALLS, CITY OF",Cascade,Upper Missouri-Dearborn,10030102,0th Congressional District,MT,8,MAP
CASCADE - TOWN OF - LAGOON,30000054001,,,"$97,486",,,,,"$97,486",.095,.083,.083,871,,,,871,950,,,,950,,,"CASCADE, CITY OF",Cascade,Upper Missouri-Dearborn,10030102,0th Congressional District,MT,8,MAP
SIDNEY WWT FACILITY,30000055001,,,"$129,981","$974,855",,,,"$1,104,836",.731,.8,.8,"5,000",,,,"5,000","8,000",,,,"8,000",,,"SIDNEY      ,CITYOF",Richland,Lower Yellowstone,10100004,0th Congressional District,MT,8,MAP
BILLINGS WWTP,30000060001,"$18,843,574",,"$16,977,383","$6,605,073",,,,"$42,426,030",15.8,26,26,"91,750",,,,"91,750","100,000","4,119",,,"104,119",MT0022586,Individual Permit,"BILLINGS      ,CITYOF",Yellowstone,Upper Yellowstone-Lake Basin,10070004,0th Congressional District,MT,8,MAP
LAUREL STP,30000062001,"$4,172,416",,"$4,956,420",,,,,"$9,128,836",1.08,.88,1.1,"6,700",,,,"6,700","8,062",,,,"8,062",MT0020311,Individual Permit,"LAUREL      ,CITYOF",Yellowstone,Upper Yellowstone-Lake Basin,10070004,0th Congressional District,MT,8,MAP
HAVRE WWT FACILITY,30000063001,"$4,516,487","$1,480,161",,,,,,"$5,996,648",1.5,1.8,3,"10,200",,,,"10,200","13,850",112,,,"13,962",MT0022535,Individual Permit,"HAVRE      ,CITYOF",Hill,Middle Milk,10050004,0th Congressional District,MT,8,MAP
CROW AGENCY STP,30000067001,"$2,737,890",,"$2,200,846",,,,,"$4,938,736",.16,.16,.506,"1,970",,,,"1,970","2,700",,,,"2,700",,,CROW AGENCY USBIA,Big Horn,Little Bighorn,10080016,0th Congressional District,MT,8,MAP
JOLIET STP,30000069001,,,"$336,521",,,,,"$336,521",.062,.12,.12,620,,,,620,"1,200",,,,"1,200",MT0020249,Individual Permit,"JOLIET, TOWN OF",Carbon,Clarks Fork Yellowstone,10070006,0th Congressional District,MT,8,MAP
"RED LODGE, CITY OF - STP",30000070001,"$2,005,202",,"$462,635",,,,,"$2,467,837",1.161,1.6,1.6,"2,255",,,,"2,255","3,605",,,,"3,605",MT0020478,Individual Permit,"RED LODGE, TOWN OF",Carbon,Clarks Fork Yellowstone,10070006,0th Congressional District,MT,8,MAP
ABSAROKEE SEWER DIST. WWTP,30000073001,,,"$1,344,277",,,,,"$1,344,277",.93,.175,.175,"1,200",,,,"1,200","1,380",,,,"1,380",MT0021750,Individual Permit,ABSAROKEE S. D.,Stillwater,Stillwater,10070005,0th Congressional District,MT,8,MAP
CUSTER AREA-YELLOWSTONE COUNTY SD,30000076001,"$880,827",,"$622,574",,,,,"$1,503,401",.028,.032,.026,150,,,,150,186,,,,186,,,CUSTER TOWN OF,Yellowstone,Lower Yellowstone-Sunday,10100001,0th Congressional District,MT,8,MAP
EKALAKA WWTP,30000079001,"$221,592",,"$266,662",,,,,"$488,254",.05,.051,.066,550,,,,550,550,,,,550,MT0020371,Individual Permit,EKALAKA TOWN OF,Carter,Upper Little Missouri,10110201,0th Congressional District,MT,8,MAP
MILES CITY STP,30000080001,,,,,,,,,1.15,2,1.524,"8,865",100,,,"8,965","10,000",150,,,"10,150",MT0020001,Individual Permit,"MILES CITY, TOWN OF",Custer,Lower Yellowstone-Sunday,10100001,0th Congressional District,MT,8,MAP
"BAKER, CITY OF - WWTP",30000081001,"$112,794",,"$2,778,982","$2,897,332",,,,"$5,789,108",.227,.348,.348,"1,695",,400,,"1,695","2,600",,,,"2,600",MTG580029,General Permit Covered Facility,"BAKER, CITY OF",Fallon,O'fallon,10100005,0th Congressional District,MT,8,MAP
LAME DEER WWTF - LAGOON,30000085001,"$579,162",,,,,,,"$579,162",.23,.25,.25,"2,300",,,,"2,300","2,500",,,,"2,500",,,NORTHERN CHEYENNE UTILITI,Rosebud,Rosebud,10100003,0th Congressional District,MT,8,MAP
HYSHAM STP,30000086001,,,"$1,867,914",,,,,"$1,867,914",.041,.048,.048,410,,,,410,500,,,,500,MT0021709,Individual Permit,"HYSHAM,TOWN OF",Treasure,Lower Yellowstone-Sunday,10100001,0th Congressional District,MT,8,MAP
BELGRADE LAGOONS,30000087001,,,"$315,613","$4,150,634",,,,"$4,466,247",.5,.903,.903,"5,500",,,,"5,500","10,500",,,,"10,500",,,"BELGRADE, TOWN OF",Gallatin,Gallatin,10020008,0th Congressional District,MT,8,MAP
THREE FORKS STP,30000088001,"$3,898,795",,"$1,527,028",,,,,"$5,425,823",.18,.45,.45,"1,800",,,,"1,800","3,600",,,,"3,600",MT0020401,Individual Permit,"THREE FORKS, TOWN OF",Gallatin,Jefferson,10020005,0th Congressional District,MT,8,MAP
ST. IGNATIUS STP,30000090001,"$3,981,336",,"$5,895",,,,,"$3,987,231",.056,.04,.086,735,,,,735,956,,,,956,,,"ST. IGNATIUS, TOWN OF",Lake,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
CHARLO - LAKE COUNTY SEWER DIST.,30000091001,"$1,175,566","$896,385","$494,514",,,,,"$2,566,465",.048,.05,.06,428,,,,428,696,,,,696,MT0022551,Individual Permit,CHARLO S. D.,Lake,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
POLSON STP,30000092001,,,"$242,356",,,,,"$242,356",.6,1.65,1.65,"4,593",,,,"4,593","12,500",,,,"12,500",MT0020559,Individual Permit,"POLSON, TOWN OF",Lake,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
DILLON WWTP,30000093001,,,"$4,567,292",,,,,"$4,567,292",.5,1.1,1.1,"4,000",,,,"4,000","4,500",,,,"4,500",MT0021458,Individual Permit,"DILLON, TOWN OF",Beaverhead,Beaverhead,10020002,0th Congressional District,MT,8,MAP
WISDOM WWTP,30000094001,"$1,690,283",,"$115,714",,,,,"$1,805,997",.02,.015,.025,135,,,,135,197,,,,197,,,WISDOM TOWN OF,Beaverhead,Big Hole,10020004,0th Congressional District,MT,8,MAP
CHINOOK STP,30000095001,"$3,402,758",,"$2,448,784",,,,,"$5,851,542",.087,.5,.5,"1,400",100,,,"1,500","1,800",100,,,"1,900",MT0020125,Individual Permit,CHINOOK TOWN OF,Blaine,Middle Milk,10050004,0th Congressional District,MT,8,MAP
SCOBEY WWTP,30000101001,"$2,050,669",,"$210,325",,,,,"$2,260,994",.14,.42,.42,"1,036",,,,"1,036","1,224",,,,"1,224",,,"SCOBEY, TOWN OF",Daniels,Poplar,10060003,0th Congressional District,MT,8,MAP
RICHEY STP,30000102001,"$370,212",,"$194,971",,,,,"$565,183",.023,.047,.047,259,,,,259,260,,,,260,,,"RICHEY, TOWN OF",Dawson,Redwater,10060002,0th Congressional District,MT,8,MAP
ANACONDA WWTP,30000103001,"$571,823",,"$1,369,777","$7,567,562",,,,"$9,509,162",1,3,3,"6,224",,"2,730",,"6,224","8,370",,,,"8,370",,,ANACONDA-DEER LODGE,Deer Lodge,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
GRASS RANGE LAGOONS,30000106001,"$562,743",,,,,,,"$562,743",.027,.038,.038,130,,,,130,100,,,,100,MT0021920,Individual Permit,"GRASS RANGE, TOWN OF",Fergus,Box Elder,10040204,0th Congressional District,MT,8,MAP
JORDAN STP,30000108001,"$1,245,587",,"$1,575,252",,,,,"$2,820,839",.05,.8,.8,443,,,,443,500,,,,500,,,"JORDAN, TOWN OF",Garfield,Big Dry,10040105,0th Congressional District,MT,8,MAP
CUT BANK LAGOON,30000109001,,,,,,,,,.352,.5,.5,"3,519",210,,,"3,729","4,927",250,,,"5,177",MT0020141,Individual Permit,"CUT BANK, TOWN OF",Glacier,Cut Bank,10030202,0th Congressional District,MT,8,MAP
RYEGATE STP,30000111001,"$902,324",,,,,,,"$902,324",.05,.05,.065,268,,,,268,344,,,,344,MT0020451,Individual Permit,"RYEGATE, TOWN OF",Golden Valley,Upper Musselshell,10040201,0th Congressional District,MT,8,MAP
DRUMMOND WWTP,30000112001,"$765,624",,"$834,475",,,,,"$1,600,099",.4,.414,.414,270,,,,270,350,,,,350,MTG580002,General Permit Covered Facility,"DRUMMOND, TOWN OF",Granite,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
PHILIPSBURG STP,30000113001,"$1,242,169","$993,735","$745,302",,,,,"$2,981,206",.1,.11,.11,970,,,,970,"1,150",,,,"1,150",,,"PHILIPSBURG, TOWN OF",Granite,Flint-Rock,17010202,0th Congressional District,MT,8,MAP
ROCKY BOY LAGOON,30000117001,"$5,258,934",,"$173,743",,,,,"$5,432,677",.44,.835,.835,"4,400",,,,"4,400","7,950",,,,"7,950",,,ROCKY BOY AGENCY,Hill,Big Sandy,10050005,0th Congressional District,MT,8,MAP
RUDYARD STP,30000118001,"$295,146",,"$1,758,194",,,,,"$2,053,340",.019,.02,.02,281,,,,281,309,,,,309,,,RUDYARD SD,Hill,Sage,10050006,0th Congressional District,MT,8,MAP
EAST HELENA WWTP,30000120001,,,"$389,880",,,,,"$389,880",.4,.637,.637,"2,047",,,,"2,047","2,970",,,,"2,970",MT0022560,Individual Permit,"EAST HELENA, CITY OF",Lewis and Clark,Upper Missouri,10030101,0th Congressional District,MT,8,MAP
EUREKA LAGOONS,30000124001,,,"$352,971",,,,,"$352,971",.18,.21,.21,"1,043",,,,"1,043","1,212",,,,"1,212",,,"EUREKA, TOWN OF",Lincoln,Upper Kootenai,17010101,0th Congressional District,MT,8,MAP
LIBBY STP,30000125001,"$3,764,437",,"$151,864","$2,908,507",,,,"$6,824,808",.4,.511,.511,"2,626",,,,"2,626","3,550",,,,"3,550",MT0020494,Individual Permit,"LIBBY, TOWN OF",Lincoln,Upper Kootenai,17010101,0th Congressional District,MT,8,MAP
SUPERIOR STP,30000128001,,,"$584,819",,,,,"$584,819",.075,.18,.18,881,,,,881,"1,250",,,,"1,250",MT0020664,Individual Permit,"SUPERIOR, TOWN OF",Mineral,Middle Clark Fork,17010204,0th Congressional District,MT,8,MAP
GARDINER LAGOONS,30000130001,"$2,348,421",,"$327,392",,,,,"$2,675,813",.302,.302,.532,806,,,,806,"1,044",,,,"1,044",MT0022705,Individual Permit,PARK CO.-GARDINER,Park,Yellowstone Headwaters,10070001,0th Congressional District,MT,8,MAP
DEER LODGE WWTP,30000134001,"$2,051,048",,"$4,545,567",,,,,"$6,596,615",.9,3.3,3.3,"2,390",,,,"2,390","3,765",,,,"3,765",MT0022616,Individual Permit,"DEER LODGE, TOWN OF",Powell,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
HAMILTON WWTP,30000137001,"$6,040,946",,"$638,057",,,,,"$6,679,003",.7,1.984,1.984,"4,520",,,,"4,520","10,000",,,,"10,000",MT0020028,Individual Permit,"HAMILTON, TOWN OF",Ravalli,Bitterroot,17010205,0th Congressional District,MT,8,MAP
BAINVILLE LAGOONS,30000139001,"$885,605",,,,,,,"$885,605",.02,.1,.1,153,,,,153,187,,,,187,,,BAINVILLE TOWN OF,Roosevelt,Charlie-Little Muddy,10060005,0th Congressional District,MT,8,MAP
FROID LAGOON,30000140001,"$128,801",,"$1,030,409",,,,,"$1,159,210",.034,.04,.04,230,,,,230,300,,,,300,,,FROID TOWN OF,Roosevelt,Big Muddy,10060006,0th Congressional District,MT,8,MAP
CULBERTSON WWTP,30000141001,"$1,079,859",,"$617,652",,,,,"$1,697,511",.08,.1,.12,819,,,,819,850,,,,850,,,CULBERTSON TOWN OF,Roosevelt,Charlie-Little Muddy,10060005,0th Congressional District,MT,8,MAP
BROCKTON LAGOON,30000142001,"$67,382",,"$206,272",,,,,"$273,654",.03,.036,.036,491,,9,,491,614,,9,,614,,,"BROCKTON, TOWN OF",Roosevelt,Charlie-Little Muddy,10060005,0th Congressional District,MT,8,MAP
PLAINS STP,30000146001,"$643,405",,,,,,,"$643,405",.12,.17,.17,"1,000",,,,"1,000","1,730",,,,"1,730",,,"PLAINS, TOWN OF",Sanders,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
THOMPSON FALLS - TOWN OF - WWTP,30000147001,"$649,799",,"$5,198,394",,,,,"$5,848,193",.035,.088,.1,534,,"1,066",,534,"3,500",,,,"3,500",MTG580035,General Permit Covered Facility,"THOMPSON FALLS, TOWN OF",Sanders,Lower Clark Fork,17010213,0th Congressional District,MT,8,MAP
CHOTEAU LAGOONS,30000152001,"$2,404,430",,,,,,,"$2,404,430",.28,.3,.3,"1,780",,90,,"1,780","2,000",,90,,"2,000",MT0020052,Individual Permit,CHOTEAU TOWN OF,Teton,Teton,10030205,0th Congressional District,MT,8,MAP
DUTTON LAGOON,30000153001,"$1,827,634",,,,,,,"$1,827,634",.034,.046,.046,330,,,,330,450,,,,450,MTG580023,General Permit Covered Facility,DUTTON TOWN OF,Teton,Teton,10030205,0th Congressional District,MT,8,MAP
SHELBY STP,30000154001,"$4,719,167",,,,,,,"$4,719,167",.6,.4,.4,"3,400",,,,"3,400","4,000",,,,"4,000",,,"SHELBY, TOWN OF",Toole,Marias,10030203,0th Congressional District,MT,8,MAP
HARLOWTON LAGOON,30000157001,"$99,374",,,,,,,"$99,374",.144,.215,.215,"1,050",,,,"1,050","1,372",,,,"1,372",MT0020354,Individual Permit,HARLOWTON TOWN OF,Wheatland,Upper Musselshell,10040201,0th Congressional District,MT,8,MAP
WIBAUX WWTP,30000158001,"$128,822",,"$609,326",,,,,"$738,148",.065,.1,.1,650,,,,650,"1,000",,,,"1,000",MT0020516,Individual Permit,"WIBAUX, TOWN OF",Wibaux,Beaver,10110204,0th Congressional District,MT,8,MAP
BIG SANDY LAGOON,30000160001,"$620,091",,"$207,033",,,,,"$827,124",.085,.18,.18,750,,,,750,785,,,,785,MT0022454,Individual Permit,"BIG SANDY, TOWN OF",Chouteau,Big Sandy,10050005,0th Congressional District,MT,8,MAP
SHERIDAN STP,30000161001,"$1,541,145",,"$552,817",,,,,"$2,093,962",.1,.29,.29,723,,,,723,795,,,,795,MT0022098,Individual Permit,"SHERIDAN, TOWN OF",Madison,Ruby,10020003,0th Congressional District,MT,8,MAP
LAMBERT STP,30000167001,,,"$36,298",,,,,"$36,298",.01,.015,.015,150,,,,150,200,,,,200,,,LAMBERT S.D.,Richland,Big Muddy,10060006,0th Congressional District,MT,8,MAP
LOLO W & S,30000168001,"$4,609,676",,"$126,061","$6,209,481",,,,"$10,945,218",.2,.25,.54,"1,813",,,,"1,813","5,484",,,,"5,484",MT0020168,Individual Permit,LOLO W & S,Missoula,Bitterroot,17010205,0th Congressional District,MT,8,MAP
W. GLENDIVE STP,30000174001,,,"$1,480,035",,,,,"$1,480,035",.23,1,1,"2,300",,,,"2,300","2,600",,,,"2,600",MT0021733,Individual Permit,"W. GLENDIVE, TOWN OF",Dawson,Lower Yellowstone,10100004,0th Congressional District,MT,8,MAP
FRAZER LAGOON,30000178001,"$966,162",,,,,,,"$966,162",.03,.04,.044,350,,,,350,403,,,,403,,,FRAZER TOWN OF,Valley,Prarie Elk-Wolf,10060001,0th Congressional District,MT,8,MAP
BIGFORK COUNTY WATER & SEWER DIS.,30000180001,"$4,981,527",,"$1,637,295","$2,305,828",,,,"$8,924,650",.208,.5,1,"2,080",,"1,000",,"2,080","5,160",,,,"5,160",MT0020397,Individual Permit,BIGFORK W&S DIST,Flathead,Flathead Lake,17010208,0th Congressional District,MT,8,MAP
GILDFORD LAGOON,30000181001,"$955,826",,"$97,610",,,,,"$1,053,436",.018,.02,.02,185,,,,185,205,,,,205,,,GILDFORD TOWN OF,Hill,Sage,10050006,0th Congressional District,MT,8,MAP
BROWNING LAGOON,30000182001,"$681,168",,,,,,,"$681,168",.76,1.27,1.27,"8,000",,,,"8,000","9,400",,,,"9,400",,,"BROWNING, CITY OF",Glacier,Cut Bank,10030202,0th Congressional District,MT,8,MAP
COLSTRIP WWTP,30000192001,,,"$393,920",,,,,"$393,920",.15,.6,.6,"2,300",,,,"2,300","2,100",,,,"2,100",MT0022373,Individual Permit,ROSEBUD CO.-COLSTRIP,Rosebud,Lower Yellowstone-Sunday,10100001,0th Congressional District,MT,8,MAP
HOT SPRINGS,30000193001,,,"$1,735,243",,,,,"$1,735,243",.045,.237,.237,450,,,,450,550,,,,550,,,"HOT SPRINGS, TOWN OF",Sanders,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
HINSDALE WWTP,30000196001,"$466,556",,"$175,446","$323,600",,,,"$965,602",.023,.03,.03,275,,,,275,325,,,,325,MT0020656,Individual Permit,HINSDALE SEWER DIST.,Valley,Lower Milk,10050012,0th Congressional District,MT,8,MAP
LAKESIDE STP,30000202001,"$1,273,606",,"$527,637",,,,,"$1,801,243",.14,.2,.2,"1,200",885,,,"2,085","2,100",900,,,"3,000",,,LAKESIDE SEWER DISTRICT,Flathead,Flathead Lake,17010208,0th Congressional District,MT,8,MAP
WILLOW CREEK SEWER DIST.,30000203001,"$1,177,316",,,,,,,"$1,177,316",.022,.03,.03,192,,,,192,302,,,,302,MT0025038,Individual Permit,WILLOW CREEK SD,Gallatin,Jefferson,10020005,0th Congressional District,MT,8,MAP
RAYNESFORD SEPTIC TANKS,30000204001,"$389,067",,,"$389,068",,,,"$778,135",,,.01,,,75,,,100,,,,100,,,"RAYNESFORD, TOWN OF",Judith Basin,Belt,10030105,0th Congressional District,MT,8,MAP
MARTINSDALE SEPTIC TANKS,30000207001,"$596,241",,,"$298,120",,,,"$894,361",,,.016,,,120,,,170,,,,170,,,"MARTINSDALE, TOWN OF",Meagher,Upper Musselshell,10040201,0th Congressional District,MT,8,MAP
SALTESE SEPTIC TANKS,30000208001,"$361,354",,,"$734,272",,,,"$1,095,626",,,.009,,,90,,,100,,,,100,,,"SALTESE, TOWN OF",Mineral,Middle Clark Fork,17010204,0th Congressional District,MT,8,MAP
SEELEY LAKE SEPTIC,30000209001,"$6,338,723",,,"$6,185,385",,,,"$12,524,108",,,.246,,,"2,200",,,"1,800",,,,"1,800",,,"SEELEY LAKE, TOWN OF",Missoula,Blackfoot,17010203,0th Congressional District,MT,8,MAP
FLORENCE SEPTIC TANKS,30000211001,"$2,304,188",,,"$4,279,578",,,,"$6,583,766",,,.105,,,650,,,"1,048",,,,"1,048",,,"FLORENCE, TOWN OF",Ravalli,South Fork Flathead,17010209,0th Congressional District,MT,8,MAP
ROCKER WATER & SEWER DIST.,30000216001,"$569,301","$753,487","$118,497",,,,,"$1,441,285",.033,.05,.075,100,,,,100,145,,,,145,MT0027430,Individual Permit,ROCKER W & S DIST.,Silver Bow,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
NORTH CUT BANK,30000217001,,,,,,,,,.032,.032,.032,210,,,,210,250,,,,250,,,N GLACIER CO W & S DIST,Glacier,Cut Bank,10030202,0th Congressional District,MT,8,MAP
ARLEE,30000220001,"$1,590,708",,,"$2,970,882",,,,"$4,561,590",,,.09,,,525,,,781,,,,781,,,ARLEE,Lake,Middle Clark Fork,17010204,0th Congressional District,MT,8,MAP
BIG ARM CO W & S DIST,30000222001,"$2,128,049",,,"$4,611,152",,,,"$6,739,201",,,.082,,,"1,802",,,"1,100",,,,"1,100",,,BIG ARM CO W & S DIST,Lake,Flathead Lake,17010208,0th Congressional District,MT,8,MAP
HILGER,30000230001,"$548,206",,,"$423,038",,,,"$971,244",,,.005,,,40,,,50,,,,50,,,"HILGER, TOWN OF",Fergus,Judith,10040103,0th Congressional District,MT,8,MAP
BIG SKY CO W&S DIST,30000233001,,"$3,899,422","$714,894",,,,,"$4,614,316",.3,1,1,"3,000",,,,"3,000","5,000",,,,"5,000",,,BIG SKY CO W&S DIST,Gallatin,Gallatin,10020008,0th Congressional District,MT,8,MAP
ST. MARIE - NO VALLEY CO W&S DIST,30000239001,,,"$623,807",,,,,"$623,807",.015,.05,.05,150,,,,150,325,,,,325,,,NO VALLEY CO W&S DIST,Valley,Porcupine,10050016,0th Congressional District,MT,8,MAP
EVERGREEN - FLATHEAD CO. W&S DIST,30000240001,"$12,925,387",,"$387,762",,,,,"$13,313,149",,,.55,"5,000",,,,"5,000","5,500",,,,"5,500",,,FLATHEAD CO. W&S DIST,Flathead,Stillwater,17010210,0th Congressional District,MT,8,MAP
L & C CO (HELENA VALLEY),30000250001,"$99,374",,,"$397,494",,,,"$496,868",,,1.8,,,"17,990",,,"30,200",,,,"30,200",,,L & C CO (HELENA VALLEY),Lewis and Clark,Upper Missouri,10030101,0th Congressional District,MT,8,MAP
SUN PRAIRIE VILLAGE W&S DISTRICT,30300245001,"$1,130,518",,"$2,603,988",,,,,"$3,734,506",.13,.166,.182,"1,400",,,,"1,400","1,820",,,,"1,820",MT0028665,Individual Permit,SUN PRAIRIE VILLAGE W&S DISTRICT,Cascade,Upper Missouri-Dearborn,10030102,0th Congressional District,MT,8,MAP
FORT PECK LAGOONS,30300251001,,,,,,,,,.024,.024,.024,250,,,,250,270,,,,270,MTG580019,General Permit Covered Facility,FORT PECK LAGOONS,Valley,Prarie Elk-Wolf,10060001,0th Congressional District,MT,8,MAP
ASHLAND LAGOONS,30300254001,"$1,932,325",,"$5,153",,,,,"$1,937,478",.153,.063,.063,"1,101",,,,"1,101","1,500",,,,"1,500",,,ASHLAND LAGOONS,Rosebud,Lower Tongue,10090102,0th Congressional District,MT,8,MAP
BIG MOUNTAIN SEWER DISTRICT,30300255001,,,,,,,,,.04,.3,.3,760,,,,760,"3,000",,,,"3,000",,,BIG MOUNTAIN,Flathead,Stillwater,17010210,0th Congressional District,MT,8,MAP
DIXON,30300256001,,,"$50,872",,,,,"$50,872",.016,.016,.016,160,,,,160,200,,,,200,,,DIXON,Sanders,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
GOLDEN WEST (MISSOULA CO.),30300266001,"$509,443",,"$6,498",,,,,"$515,941",.007,.015,.015,105,,,,105,120,,,,120,,,GOLDEN WEST SUBDIVISION,Missoula,Middle Clark Fork,17010204,0th Congressional District,MT,8,MAP
EL MAR ESTATES (MISSOULA CO.),30300267001,"$4,080,739",,"$14,296",,,,,"$4,095,035",.09,.123,.14,"1,230",,,,"1,230","1,250",,,,"1,250",,,EL MAR ESTATES SUBDIVISION,Missoula,Middle Clark Fork,17010204,0th Congressional District,MT,8,MAP
ASHLAND (RABBIT TOWN-NCIR),30300277001,"$130,442",,,,,,,"$130,442",.01,.01,.01,95,,,,95,120,,,,120,,,ASHLAND (RABBIT TOWN),Rosebud,Lower Tongue,10090102,0th Congressional District,MT,8,MAP
TREASURE STATE ACRES SEWER DIST.,30300290001,"$645,928",,,,,,,"$645,928",.1,.1,.16,"1,030",,,,"1,030","1,400",,,,"1,400",,,Treasure State Acres Sewer District,Lewis and Clark,Upper Missouri,10030101,0th Congressional District,MT,8,MAP
DELL RAPIDS WWTP,46000006001,,,"$1,006,157",,,,,"$1,006,157",.25,.3,.3,"2,484",,,,"2,484","2,997",,,,"2,997",SD0022101,Individual Permit,"DELL RAPIDS     ,CITYOF",Minnehaha,Lower Big Sioux,10170203,0th Congressional District,SD,8,MAP
GARRETSON WWT WORKS,46000017001,,,,"$380,396",,,,"$380,396",.05,.08,.08,924,,,,924,929,,,,929,SD0022560,Individual Permit,"GARRETSON      ,CITYOF",Minnehaha,Lower Big Sioux,10170203,0th Congressional District,SD,8,MAP
CANTON LAGOON,46000022001,,"$2,407,324",,,,,,"$2,407,324",.404,.404,.511,"3,233",,,,"3,233","4,303",,,,"4,303",SD0022489,Individual Permit,"CANTON      ,CITYOF",Lincoln,Lower Big Sioux,10170203,0th Congressional District,SD,8,MAP
ELK POINT WWTF,46000033001,,,"$409,274",,,,,"$409,274",.14,.16,.16,"1,700",,,,"1,700","1,934",,,,"1,934",SD0022080,Individual Permit,CITY OF ELK POINT WWT,Union,Lewis And Clark Lake,10170101,0th Congressional District,SD,8,MAP
MARTIN NORTH LAGOON,46000048002,,"$293,837",,,,,,"$293,837",.05,.05,.05,716,,,,716,619,,,,619,SD0021601,Individual Permit,"MARTIN, CITY OF",Bennett,Little White,10140203,0th Congressional District,SD,8,MAP
MOUNT VERNON WWT WORKS,46000055001,,"$693,224","$1,499,810",,,,,"$2,193,034",.12,.12,.126,352,,,,352,423,,,,423,,,"MOUNT VERNON     ,CITYOF",Davison,Lower James,10160011,0th Congressional District,SD,8,MAP
PARKSTON WWTP,46000088001,,,"$887,367",,,,,"$887,367",.218,.218,.218,"1,528",,,,"1,528","1,800",,,,"1,800",SD0022021,Individual Permit,Parkston,Hutchinson,Lower James,10160011,0th Congressional District,SD,8,MAP
MITCHELL WWT FAC,46000089001,,,"$1,125,234",,,,,"$1,125,234",1.54,1.54,1.54,"13,798",,,,"13,798","17,573",,,,"17,573",SD0023361,Individual Permit,City of Mitchell WWT Plant,Davison,Lower James,10160011,0th Congressional District,SD,8,MAP
WATERTOWN WASTEWATER DEPT,46000097001,,,"$6,881,287",,,,,"$6,881,287",2.34,2.34,2.34,"21,856",,,,"21,856","29,000",,,,"29,000",SD0023370,Individual Permit,"WATERTOWN, CITY OF",Codington,Upper Big Sioux,10170202,0th Congressional District,SD,8,MAP
WEBSTER WWT FAC,46000103001,,"$4,073,669","$458,990",,,,,"$4,532,659",.19,.19,.203,"1,718",,,,"1,718","1,718",,,,"1,718",SD0020320,Individual Permit,"WEBSTER      ,CITYOF",Day,North Big Sioux Coteau,10160010,0th Congressional District,SD,8,MAP
BROOKINGS WWT FACILITY,46000106002,,,,"$232,534",,,,"$232,534",1.78,1.93,1.93,"15,314",,,,"15,314","25,842",,,,"25,842",SD0023388,Individual Permit,City of Brookings,Brookings,Upper Big Sioux,10170202,0th Congressional District,SD,8,MAP
VERMILLION WWT WORKS,46000107001,,"$3,080,227","$1,129,691",,,,,"$4,209,918",1.071,1.351,1.351,"10,977",,,,"10,977","14,301",,,,"14,301",SD0020061,Individual Permit,VERMILLION - CITY OF,Clay,Vermillion,10170102,0th Congressional District,SD,8,MAP
SIOUX FALLS WWT FACILITY,46000110001,,"$1,791,705","$6,284,750","$17,699,618",,,,"$25,776,073",11.79,15.44,14.33,"151,917",,,,"151,917","235,710",,,,"235,710",SD0022128,Individual Permit,Sioux Falls,Minnehaha,Lower Big Sioux,10170203,0th Congressional District,SD,8,MAP
