Facility/Project Name,CWNS Number,Cat. I ON,Cat. I UCE,Cat. II ON,Cat. II UCE,All Cat. III ON,All Cat. III UCE,All Cat. IV ON,All Cat. IV UCE,All Cat V ON,All Cat. V UCE,All Cat VI ON,All Cat. VI UCE,Cat. X ON,Cat. X UCE,Cat. XII ODN,Cat. XII UCE,Total ON,Total UCE,Total ODN,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
COLLYER WWTP,20001105001,,,,,,,,,,,,,,,,,,,,.013,.03,.03,133,,,,133,0,133,113,,,,113,0,113,,,"COLLYER, CITY OF",Trego,Upper Saline,10260009,1st Congressional District,KS,7,MAP
DORRANCE WWTP,20001106001,,,,,,,,,,,,,,,,,,,,.02,.04,.04,205,,,,205,0,205,172,,,,172,0,172,,,"DORRANCE, CITY OF",Russell,Middle Smoky Hill,10260006,1st Congressional District,KS,7,MAP
ELLIS WWTP,20001107001,,,,,,,,,,,,,,,,,,,,.187,.3,.3,"1,873",,,,"1,873",0,1873,"2,299",,,,"2,299",0,2299,KS0094145,Individual Permit,"ELLIS, CITY OF",Ellis,Big,10260007,1st Congressional District,KS,7,MAP
ELLSWORTH WWTP,20001108001,,,,,,,,,,,,,,,,,,,,.39,.5,.5,"2,905",,48,,"2,905",0,2905,"3,034",,48,,"3,034",0,3034,KS0085693,Individual Permit,"ELLSWORTH      ,CITYOF",Ellsworth,Middle Smoky Hill,10260006,1st Congressional District,KS,7,MAP
GOVE WWTP,20001110001,,,,,,,,,,,,,,,,,,,,.01,.016,.016,109,,,,109,0,109,113,,,,113,0,113,,,"GOVE CITY, CITY OF",Gove,Hackberry,10260005,1st Congressional District,KS,7,MAP
GRAINFIELD WWTP,20001111001,,,,,,,,,,,,,,,,,,,,.032,.05,.05,351,,,,351,0,351,337,,,,337,0,337,,,"GRAINFIELD, CITY OF",Gove,Upper Saline,10260009,1st Congressional District,KS,7,MAP
GRINNEL WWTP,20001112001,,,,,,,,,,,,,,,,,,,,.03,.063,.063,295,,,,295,0,295,478,,,,478,0,478,,,"GRINNEL, CITY OF",Gove,Big,10260007,1st Congressional District,KS,7,MAP
GYPSUM WWTP,20001113001,,,,,,,,,,,,,,,,,,,,.041,.041,.041,414,,,,414,0,414,402,,,,402,0,402,KS0092819,Individual Permit,"GYPSUM, CITY OF",Saline,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
GORHAM WWTP,20001114001,,,,,,,,,,,,,,,,,,,,.02,.023,.023,328,,,,328,0,328,353,,,,353,0,353,,,"GORHAM, CITY OF",Russell,Big,10260007,1st Congressional District,KS,7,MAP
ENTERPRISE WWTP,20001116001,"$1,340,826",,,,,,,,,,,,,,,,"$1,340,826",,,.083,.083,.087,836,,,,836,0,836,911,,,,911,0,911,KS0027502,Individual Permit,"ENTERPRISE, CITY OF",Dickinson,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
HAYS WWTP,20001117002,"$65,708",,"$30,182,860",,"$1,103,487",,,,,,,,,,,,"$31,352,055",,,1.767,2.8,2.8,"17,832",,"2,181",,"17,832",0,17832,"20,116",,181,,"20,116",0,20116,KS0036684,Individual Permit,"HAYS, CITY OF",Ellis,Big,10260007,1st Congressional District,KS,7,MAP
HERINGTON WWTP,20001118001,,,,,,,,,,,,,,,,,,,,.45,.9,.9,"2,526",,286,,"2,526",0,2526,"2,886",,286,,"2,886",0,2886,KS0022811,Individual Permit,"HERINGTON, CITY OF",Dickinson,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
HOPE WWTP,20001119001,,,,,,,,,,,,,,,,,,,,.04,.057,.057,401,,,,401,0,401,416,,,,416,0,416,,,"HOPE, CITY OF",Dickinson,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
MANCHESTER WWTP,20001120001,,,,,,,,,,,,,,,,,,,,.01,.008,.008,102,,,,102,0,102,147,,,,147,0,147,,,"MANCHESTER, CITY OF",Dickinson,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
KANOPOLIS WWTP,20001121001,,,,,,,,,,,,,,,,,,,,.051,.1,.1,514,,39,,514,0,514,500,,39,,500,0,500,,,"KANOPOLIS      ,CITYOF",Ellsworth,Middle Smoky Hill,10260006,1st Congressional District,KS,7,MAP
LIEBENTHAL WWTP,20001122001,,,,,,,,,,,,,,,,,,,,.01,.02,.02,105,,,,105,0,105,127,,,,127,0,127,,,"LIEBENTHAL, CITY OF",Rush,Middle Smoky Hill,10260006,1st Congressional District,KS,7,MAP
LINDSBORG WWTP,20001123001,,,,,,,,,,,,,,,,,,,,.3,.418,.418,"3,060",,224,,"3,060",0,3060,"3,740",,224,,"3,740",0,3740,KS0022462,Individual Permit,"LINDSBORG, CITY OF",McPherson,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
LONGFORD WWTP,20001124001,,,,,,,,,,,,,,,,,,,,.008,.012,.012,79,,10,,79,0,79,124,,10,,124,0,124,,,"LONGFORD, CITY OF",Clay,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
MILTONVALE WWTP,20001126001,,,,,,,,,,,,,,,,,,,,.047,.049,.049,523,,,,523,0,523,570,,,,570,0,570,KS0021911,Individual Permit,"MILTONVALE, CITY OF",Cloud,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
OAKLEY WWTP,20001127001,,,,,,,,,,,,,,,,,,,,.205,.228,.228,"2,045",,,,"2,045",0,2045,"2,400",,,,"2,400",0,2400,KS0100013,Individual Permit,"OAKLEY, CITY OF",Logan,Hackberry,10260005,1st Congressional District,KS,7,MAP
MCCRACKEN WWTP,20001128001,,,,,,,,,,,,,,,,,,,,.02,.035,.035,197,,,,197,0,197,212,,,,212,0,212,KS0092088,Individual Permit,"MCCRACKEN, CITY OF",Rush,Middle Smoky Hill,10260006,1st Congressional District,KS,7,MAP
GRANDVIEW PLAZA WWTP,20001129001,,,,,,,,,,,,,,,,,,,,.14,.192,.192,"1,012",,192,,"1,012",0,1012,"1,397",,192,,"1,397",0,1397,KS0116521,Individual Permit,GEARY CO. S.D. #1,Geary,Upper Kansas,10270101,1st Congressional District,KS,7,MAP
RAMONA WWTP,20001130001,,,,,,,,,,,,,,,,,,,,.01,.022,.022,89,,,,89,0,89,90,,,,90,0,90,,,RAMONA CITY OF,Marion,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
ROXBURY I D WWTP,20001131001,,,,,,,,,,,,,,,,,,,,.01,.013,.013,129,,,,129,0,129,130,,,,130,0,130,,,ROXBURY IMP. DISTRICT,McPherson,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
MARQUETTE WWTP,20001132001,,,,,,,,,,,,,,,,,,,,.054,.067,.067,542,,,,542,0,542,468,,,,468,0,468,KS0021873,Individual Permit,"MARQUETTE, CITY OF",McPherson,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
SALINA WWTP NO 1,20001135001,"$692,242",,"$25,891,262",,"$1,516,870",,,,,,,,,,,,"$28,100,374",,,5.31,7.25,7.25,"45,893","3,220",187,,"49,113",0,49113,"48,741","3,354",187,,"52,095",0,52095,KS0038474,Individual Permit,"SALINA      ,CITYOF",Saline,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
SCHOENCHEN WWTP,20001136001,,,,,,,,,,,,,,,,,,,,.021,.025,.025,211,,2,,211,0,211,217,,2,,217,0,217,,,"SCHOENCHEN, CITY OF",Ellis,Middle Smoky Hill,10260006,1st Congressional District,KS,7,MAP
SMOLAN WWTP,20001137001,,,,,,,,,,,,,,,,,,,,.017,.03,.03,170,,41,,170,0,170,213,,41,,213,0,213,,,"SMOLAN, CITY OF",Saline,Lower Saline,10260010,1st Congressional District,KS,7,MAP
SHARON SPRINGS WWTP,20001138001,,,,,,,,,,,,,,,,,,,,.083,.15,.15,726,,,,726,0,726,"1,030",,,,"1,030",0,1030,,,"SHARON SPRINGS, CITY OF",Wallace,Smoky Hill Headwaters,10260001,1st Congressional District,KS,7,MAP
RUSSELL WWTP,20001139001,,,,,"$631,052",,,,,,,,,,,,"$631,052",,,1.32,1.4,1.4,"4,696",,,,"4,696",0,4696,"5,119",,,,"5,119",0,5119,KS0091367,Individual Permit,"RUSSELL, CITY OF",Russell,Middle Smoky Hill,10260006,1st Congressional District,KS,7,MAP
VICTORIA WWTP,20001140001,,,,,,,,,,,,,,,,,,,,.115,.12,.12,"1,115",,52,,"1,115",0,1115,"1,289",,52,,"1,289",0,1289,,,"VICTORIA      ,CITYOF",Ellis,Big,10260007,1st Congressional District,KS,7,MAP
JUNCTION CITY SW WWTP,20001144001,"$2,600,217",,"$1,047,348",,"$2,544,893",,,,,,,,,,,,"$6,192,458",,,2.28,2.5,2.5,"2,000",,,,"2,000",0,2000,"4,200",,,,"4,200",0,4200,KS0092151,Individual Permit,"JUNCTION CITY     ,CITYOF",Geary,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
MUNJOR I D WWTP,20001145001,,,,,,,,,,,,,,,,,,,,.03,.04,.04,300,,,,300,0,300,331,,,,331,0,331,,,MUNJOR IMP DIST BOARD OF COMMISSIONERS,Ellis,Big,10260007,1st Congressional District,KS,7,MAP
WAKEENEY WWTP,20001146001,,,,,,,,,,,,,,,,,,,,.186,.25,.25,"1,862",,,,"1,862",0,1862,"2,364",,,,"2,364",0,2364,KS0099309,Individual Permit,"WAKEENEY, CITY OF",Trego,Big,10260007,1st Congressional District,KS,7,MAP
WINONA WWTP,20001149001,,,,,"$1,126,332",,,,,,,,,,,,"$1,126,332",,,.02,.03,.03,228,,,,228,0,228,243,,,,243,0,243,,,"WINONA, CITY OF",Logan,Hackberry,10260005,1st Congressional District,KS,7,MAP
WILSON WWTP,20001150001,,,,,,,,,,,,,,,,,,,,.077,.088,.088,767,,,,767,0,767,765,,,,765,0,765,KS0096954,Individual Permit,"WILSON, CITY OF",Ellsworth,Middle Smoky Hill,10260006,1st Congressional District,KS,7,MAP
WOODBINE WWTP,20001151001,,,,,,,,,,,,,,,,,,,,.019,.021,.021,208,,,,208,0,208,229,,,,229,0,229,,,"WOODBINE, CITY OF",Dickinson,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
BOGUE WWTP,20001201001,,,,,,,,,,,,,,,,,,,,.014,.027,.027,143,,,,143,0,143,150,,,,150,0,150,,,"BOGUE, CITY OF",Graham,Upper South Fork Solomon,10260013,1st Congressional District,KS,7,MAP
AGRA WWTP,20001203001,,,,,,,,,,,,,,,,,,,,.03,.05,.05,332,,,,332,0,332,345,,,,345,0,345,,,"AGRA, CITY OF",Phillips,Lower North Fork Solomon,10260012,1st Congressional District,KS,7,MAP
ALTON WWTP,20001204001,"$99,761",,,,,,,,,,,,,,,,"$99,761",,,.012,.02,.02,117,,,,117,0,117,126,,,,126,0,126,,,"ALTON, CITY OF",Osborne,Lower South Fork Solomon,10260014,1st Congressional District,KS,7,MAP
BELOIT WWTP,20001205001,,,,,,,,,,,,,,,,,,,,.4,.6,.6,"4,033",,134,,"4,033",0,4033,"4,775",,134,,"4,775",0,4775,KS0021903,Individual Permit,"BELOIT, CITY OF",Mitchell,Solomon,10260015,1st Congressional District,KS,7,MAP
BENNINGTON WWTP,20001206001,,,,,,,,,,,,,,,,,,,,.061,.087,.087,617,,17,,617,0,617,685,,17,,685,0,685,KS0095567,Individual Permit,"BENNINGTON, CITY OF",Ottawa,Solomon,10260015,1st Congressional District,KS,7,MAP
BARNARD WWTP,20001207001,,,,,,,,,,,,,,,,,,,,.007,.021,.021,123,,,,123,0,123,159,,,,159,0,159,,,"BARNARD, CITY OF",Lincoln,Solomon,10260015,1st Congressional District,KS,7,MAP
CAWKER CITY  BURUC WWTP,20001208001,,,,,,,,,,,,,,,,,,,,.06,.09,.09,601,,,,601,0,601,679,,,,679,0,679,KS0030465,Individual Permit,"CAWKER CITY, CITY OF",Mitchell,Solomon,10260015,1st Congressional District,KS,7,MAP
DELPHOS WWTP,20001209001,,,,,,,,,,,,,,,,,,,,.047,.065,.065,469,,,,469,0,469,615,,,,615,0,615,KS0092169,Individual Permit,"DELPHOS, CITY OF",Ottawa,Solomon,10260015,1st Congressional District,KS,7,MAP
DOWNS WWTP,20001210001,,,,,,,,,,,,,,,,,,,,.104,.15,.15,"1,038",,,,"1,038",0,1038,"1,267",,,,"1,267",0,1267,KS0098230,Individual Permit,"DOWNS, CITY OF",Osborne,Lower North Fork Solomon,10260012,1st Congressional District,KS,7,MAP
DAMAR WWTP,20001211001,,,,,,,,,,,,,,,,,,,,.015,.03,.03,155,,,,155,0,155,192,,,,192,0,192,,,"DAMAR, CITY OF",Rooks,Upper South Fork Solomon,10260013,1st Congressional District,KS,7,MAP
GAYLORD WWTP,20001214001,,,,,,,,,,,,,,,,,,,,.015,.02,.02,158,,,,158,0,158,208,,,,208,0,208,,,"GAYLORD, CITY OF",Smith,Lower North Fork Solomon,10260012,1st Congressional District,KS,7,MAP
ESBON WWTP,20001216001,,,,,,,,,,,,,,,,,,,,.014,.015,.015,148,,,,148,0,148,189,,,,189,0,189,,,"ESBON, CITY OF",Jewell,Solomon,10260015,1st Congressional District,KS,7,MAP
GLASCO WWTP,20001217001,,,,,,,,,,,,,,,,,,,,.053,.075,.075,563,,,,563,0,563,700,,,,700,0,700,,,"GLASCO      ,CITYOF",Cloud,Solomon,10260015,1st Congressional District,KS,7,MAP
HILL CITY WWTP,20001218001,,,,,,,,,,,,,,,,,,,,.16,.211,.211,"1,437",,,,"1,437",0,1437,"2,225",,,,"2,225",0,2225,KS0116882,Individual Permit,"HILL CITY, CITY OF",Graham,Upper South Fork Solomon,10260013,1st Congressional District,KS,7,MAP
GLEN ELDER WWTP,20001219001,,,,,,,,,,,,,,,,,,,,.039,.064,.064,390,,,,390,0,390,473,,,,473,0,473,KS0020982,Individual Permit,"GLEN ELDER, CITY OF",Mitchell,Solomon,10260015,1st Congressional District,KS,7,MAP
KENSINGTON WWTP,20001220001,,,,,,,,,,,,,,,,,,,,.053,.055,.055,463,,,,463,0,463,520,,,,520,0,520,KS0093998,Individual Permit,"KENSINGTON, CITY OF",Smith,Lower North Fork Solomon,10260012,1st Congressional District,KS,7,MAP
HOXIE WWTP,20001221001,,"$201,958",,,,,,,,,,,,,,,,"$201,958",,.115,.2,.143,"1,153",,,,"1,153",0,1153,"1,430",,,,"1,430",0,1430,KS0030562,Individual Permit,"HOXIE, CITY OF",Sheridan,Upper South Fork Solomon,10260013,1st Congressional District,KS,7,MAP
LEBANON WWTP,20001222001,,,,,,,,,,,,,,,,,,,,.03,.065,.065,272,,,,272,0,272,326,,,,326,0,326,,,"LEBANON, CITY OF",Smith,Lower North Fork Solomon,10260012,1st Congressional District,KS,7,MAP
KIRWIN WWTP,20001223001,,,,,,,,,,,,,,,,,,,,.023,.05,.05,211,,,,211,0,211,227,,,,227,0,227,,,"KIRWIN, CITY OF",Phillips,Lower North Fork Solomon,10260012,1st Congressional District,KS,7,MAP
LOGAN WWTP,20001224001,,,,,,,,,,,,,,,,,,,,.06,.08,.067,603,,,,603,0,603,671,,,,671,0,671,,,"LOGAN, CITY OF",Phillips,Upper North Fork Solomon,10260011,1st Congressional District,KS,7,MAP
LENORA WWTP,20001225001,,,,,,,,,,,,,,,,,,,,.03,.05,.05,280,,,,280,0,280,359,,,,359,0,359,,,"LENORA, CITY OF",Norton,Upper North Fork Solomon,10260011,1st Congressional District,KS,7,MAP
MINNEAPOLIS WWTP,20001226001,"$249,402",,,,"$249,402",,,,,,,,,,,,"$498,804",,,.205,.234,.234,"2,046",,,,"2,046",0,2046,"2,264",,,,"2,264",0,2264,KS0086304,Individual Permit,"MINNEAPOLIS, CITY OF",Ottawa,Solomon,10260015,1st Congressional District,KS,7,MAP
MORLAND WWTP,20001228001,,,,,,,,,,,,,,,,,,,,.016,.037,.037,151,,,,151,0,151,280,,,,280,0,280,,,"MORLAND, CITY OF",Graham,Upper South Fork Solomon,10260013,1st Congressional District,KS,7,MAP
OSBORNE WWTP,20001229001,,,,,,,,,,,,,,,,,,,,.138,.206,.206,"1,380",,33,,"1,380",0,1380,"1,824",,33,,"1,824",0,1824,KS0092398,Individual Permit,"OSBORNE      ,CITYOF",Osborne,Lower South Fork Solomon,10260014,1st Congressional District,KS,7,MAP
PHILLIPSBURG WWTP,20001230001,,,,,,,,,,,,,,,,,,,,.267,.35,.35,"2,668",,,,"2,668",0,2668,"2,872",,,,"2,872",0,2872,KS0097331,Individual Permit,"PHILLIPSBURG, CITY OF",Phillips,Lower North Fork Solomon,10260012,1st Congressional District,KS,7,MAP
PALCO WWTP,20001232001,,,,,,,,,,,,,,,,,,,,.023,.045,.045,225,,,,225,0,225,275,,,,275,0,275,KS0093122,Individual Permit,"PALCO, CITY OF",Rooks,Upper South Fork Solomon,10260013,1st Congressional District,KS,7,MAP
PRAIRIE VIEW WWTP,20001233001,,,,,,,,,,,,,,,,,,,,.014,.02,.02,145,,,,145,0,145,142,,,,142,0,142,,,"PRAIRIE VIEW, CITY OF",Phillips,Lower North Fork Solomon,10260012,1st Congressional District,KS,7,MAP
SOLOMON WWTP,20001238001,,,,,,,,,,,,,,,,,,,,.11,.11,.11,"1,090",,7,,"1,090",0,1090,"1,649",,7,,"1,649",0,1649,KS0085979,Individual Permit,"SOLOMON      ,CITYOF",Dickinson,Solomon,10260015,1st Congressional District,KS,7,MAP
SELDEN WWTP,20001242001,,,,,,,,,,,,,,,,,,,,.02,.025,.025,201,,,,201,0,201,200,,,,200,0,200,,,"SELDEN, CITY OF",Sheridan,Upper North Fork Solomon,10260011,1st Congressional District,KS,7,MAP
SMITH CENTER WWTP,20001247001,,,,,,,,,,,,,,,,,,,,.168,.28,.28,"1,684",,,,"1,684",0,1684,"1,803",,,,"1,803",0,1803,KS0098221,Individual Permit,"SMITH CENTER, CITY OF",Smith,Lower North Fork Solomon,10260012,1st Congressional District,KS,7,MAP
NICODEMUS I D GRAHAM CO WWTP,20001251001,,,,,,,,,,,,,,,,,,,,.005,.005,.005,50,,,,50,0,50,47,,,,47,0,47,,,NICODEMUS IMP DIST BOARD OF COMMISSIONERS,Graham,Upper South Fork Solomon,10260013,1st Congressional District,KS,7,MAP
TIPTON WWTP,20001255001,,,,,,,,,,,,,,,,,,,,.022,.023,.023,223,,2,,223,0,223,228,,2,,228,0,228,KS0085219,Individual Permit,"TIPTON, CITY OF",Mitchell,Lower South Fork Solomon,10260014,1st Congressional District,KS,7,MAP
WOODSTON WWTP,20001280001,"$948,725",,,,,,,,,,,,,,,,"$948,725",,,.014,.065,.014,136,,,,136,0,136,140,,,,140,0,140,,,"WOODSTON, CITY OF",Rooks,Lower South Fork Solomon,10260014,1st Congressional District,KS,7,MAP
ZURICH WWTP,20001281001,,,,,,,,,,,,,,,,,,,,.012,.013,.013,120,,,,120,0,120,128,,,,128,0,128,,,"ZURICH, CITY OF",Rooks,Upper Saline,10260009,1st Congressional District,KS,7,MAP
ALBERT WWTP,20001301001,,,,,,,,,,,,,,,,,,,,.018,.03,.03,240,,,,240,0,240,222,,,,222,0,222,,,"ALBERT, CITY OF",Barton,Lower Walnut Creek,11030008,1st Congressional District,KS,7,MAP
ALEXANDER WWTP,20001302001,,,,,,,,,,,,,,,,,,,,.008,.02,.02,76,,,,76,0,76,95,,,,95,0,95,,,"ALEXANDER, CITY OF",Rush,Lower Walnut Creek,11030008,1st Congressional District,KS,7,MAP
BISON WWTP,20001303001,,,,,,,,,,,,,,,,,,,,.023,.03,.03,238,,,,238,0,238,270,,,,270,0,270,KS0116688,Individual Permit,"BISON, CITY OF",Rush,Lower Walnut Creek,11030008,1st Congressional District,KS,7,MAP
BAZINE WWTP,20001305001,,,,,,,,,,,,,,,,,,,,.026,.041,.041,257,,,,257,0,257,237,,,,237,0,237,,,"BAZINE, CITY OF",Ness,Lower Walnut Creek,11030008,1st Congressional District,KS,7,MAP
CIMARRON WWTP,20001306001,,,,,,,,,,,,,,,,,,,,.194,.3,.3,"1,822",,113,,"1,822",0,1822,"2,139",,113,,"2,139",0,2139,KS0091791,Individual Permit,"CIMARRON, CITY OF",Gray,Arkansas-Dodge City,11030003,1st Congressional District,KS,7,MAP
COOLIDGE WWTP,20001308001,"$399,043",,,,,,,,,,,,,,,,"$399,043",,,.008,.016,.016,86,,,,86,0,86,113,,,,113,0,113,,,"COOLIDGE, CITY OF",Hamilton,Middle Arkansas-Lake McKinney,11030001,1st Congressional District,KS,7,MAP
DEERFIELD WWTP,20001309001,,,,,,,,,,,,,,,,,,,,.084,.1,.1,884,,,,884,0,884,946,,,,946,0,946,,,"DEERFIELD, CITY OF",Kearny,Middle Arkansas-Lake McKinney,11030001,1st Congressional District,KS,7,MAP
DIGHTON WWTP,20001310001,,,,,,,,,,,,,,,,,,,,.105,.2,.2,"1,050",,,,"1,050",0,1050,"1,363",,,,"1,363",0,1363,KS0022527,Individual Permit,"DIGHTON, CITY OF",Lane,Upper Walnut Creek,11030007,1st Congressional District,KS,7,MAP
BURDETT WWTP,20001311001,,,,,,,,,,,,,,,,,,,,.025,.04,.04,256,,,,256,0,256,252,,,,252,0,252,,,"BURDETT, CITY OF",Pawnee,Pawnee,11030005,1st Congressional District,KS,7,MAP
ENSIGN WWTP,20001312001,,,,,,,,,,,,,,,,,,,,.011,.011,.011,203,,79,,203,0,203,195,,79,,195,0,195,,,"ENSIGN, CITY OF",Gray,Coon-Pickerel,11030004,1st Congressional District,KS,7,MAP
FORD WWTP,20001313001,,,,,,,,,,,,,,,,,,,,.028,.031,.031,330,,,,330,0,330,350,,,,350,0,350,,,"FORD, CITY OF",Ford,Coon-Pickerel,11030004,1st Congressional District,KS,7,MAP
GARFIELD WWTP,20001314001,,,,,,,,,,,,,,,,,,,,.017,.02,.02,179,,,,179,0,179,234,,,,234,0,234,,,"GARFIELD, CITY OF",Pawnee,Coon-Pickerel,11030004,1st Congressional District,KS,7,MAP
HANSTON WWTP,20001315001,,,,,,,,,,,,,,,,,,,,.026,.04,.04,259,,,,259,0,259,246,,,,246,0,246,KS0031143,Individual Permit,"HANSTON, CITY OF",Hodgeman,Buckner,11030006,1st Congressional District,KS,7,MAP
GREAT BEND WWTP,20001316001,,,"$4,634,905",,,,,,,,,,,,,,"$4,634,905",,,1.256,3.6,3.6,"14,959",,581,,"14,959",0,14959,"15,601",,581,,"15,601",0,15601,KS0038491,Individual Permit,"GREAT BEND      ,CITYOF",Barton,Coon-Pickerel,11030004,1st Congressional District,KS,7,MAP
JETMORE WWTP,20001317001,,,,,,,,,,,,,,,,,,,,.09,.15,.15,888,,8,,888,0,888,972,,8,,972,0,972,KS0099562,Individual Permit,"JETMORE, CITY OF",Hodgeman,Buckner,11030006,1st Congressional District,KS,7,MAP
INGALLS WWTP,20001318001,,,,,,,,,,,,,,,,,,,,.031,.037,.037,311,,73,,311,0,311,335,,73,,335,0,335,,,"INGALLS, CITY OF",Gray,Arkansas-Dodge City,11030003,1st Congressional District,KS,7,MAP
HORACE WWTP,20001319001,,,,,,,,,,,,,,,,,,,,.015,.017,.017,156,,,,156,0,156,158,,,,158,0,158,,,"HORACE, CITY OF",Greeley,Whitewoman,11030002,1st Congressional District,KS,7,MAP
WILROADS GARDENS  I D WWTP,20001320001,,,,,,,,,,,,,,,,,,,,.041,.05,.05,415,,,,415,0,415,473,,,,473,0,473,,,WILROADS GARDENS IMP DIST,Ford,Coon-Pickerel,11030004,1st Congressional District,KS,7,MAP
WRIGHT I D WWTP,20001321001,,,,,,,,,,,,,,,,,,,,.015,.021,.021,210,,,,210,0,210,210,,,,210,0,210,,,WRIGHT IMP. DIST.,Ford,Buckner,11030006,1st Congressional District,KS,7,MAP
KINSLEY WWTP,20001322001,,,,,,,,,,,,,,,,,,,,.18,.24,.24,"1,476",,,,"1,476",0,1476,"2,442",,,,"2,442",0,2442,,,"KINSLEY, CITY OF",Edwards,Coon-Pickerel,11030004,4th Congressional District,KS,7,MAP
LEWIS WWTP,20001323001,,"$867,781",,,,,,,,,,,,,,,,"$867,781",,.045,.045,.045,452,,,,452,0,452,473,,,,473,0,473,,,"LEWIS, CITY OF",Edwards,Coon-Pickerel,11030004,4th Congressional District,KS,7,MAP
LARNED WWTP,20001324001,,,,,,,,,,,,,,,,,,,,.405,1,1,"4,054",,,,"4,054",0,4054,"4,623",,,,"4,623",0,4623,KS0098752,Individual Permit,"LARNED, CITY OF",Pawnee,Coon-Pickerel,11030004,1st Congressional District,KS,7,MAP
LAKIN WWTP,20001325001,,,,,,,,,,,,,,,,,,,,.227,.314,.314,"2,275",,,,"2,275",0,2275,"2,647",,,,"2,647",0,2647,KS0094196,Individual Permit,"LAKIN, CITY OF",Kearny,Middle Arkansas-Lake McKinney,11030001,1st Congressional District,KS,7,MAP
LEOTI WWTP,20001326001,,,,,,,,,,,,,,,,,,,,.16,.2,.2,"1,598",,,,"1,598",0,1598,"1,891",,,,"1,891",0,1891,,,"LEOTI      ,CITYOF",Wichita,Whitewoman,11030002,1st Congressional District,KS,7,MAP
LACROSSE WWTP,20001327001,,,,,,,,,,,,,,,,,,,,.137,.2,.13,"1,376",,,,"1,376",0,1376,"1,369",,,,"1,369",0,1369,,,"LACROSSE, CITY OF",Rush,Lower Walnut Creek,11030008,1st Congressional District,KS,7,MAP
NESS CITY WWTP,20001329001,,,,,,,,,,,,,,,,,,,,.126,.184,.184,"1,262",,38,,"1,262",0,1262,"1,451",,38,,"1,451",0,1451,,,"NESS CITY, CITY OF",Ness,Upper Walnut Creek,11030007,1st Congressional District,KS,7,MAP
OLMITZ WWTP,20001330001,,,,,,,,,,,,,,,,,,,,.013,.015,.015,135,,,,135,0,135,169,,,,169,0,169,,,"OLMITZ, CITY OF",Barton,Lower Walnut Creek,11030008,1st Congressional District,KS,7,MAP
OTIS WWTP,20001331001,,,,,,,,,,,,,,,,,,,,.03,.044,.044,301,,9,,301,0,301,345,,9,,345,0,345,KS0091758,Individual Permit,"OTIS      ,CITYOF",Rush,Lower Walnut Creek,11030008,1st Congressional District,KS,7,MAP
OFFERLE WWTP,20001332001,,,,,,,,,,,,,,,,,,,,.022,.034,.034,204,,,,204,0,204,171,,,,171,0,171,,,"OFFERLE, CITY OF",Edwards,Coon-Pickerel,11030004,4th Congressional District,KS,7,MAP
PAWNEE ROCK WWTP,20001333001,,,,,,,,,,,,,,,,,,,,.033,.024,.024,326,,,,326,0,326,381,,,,381,0,381,,,"PAWNEE ROCK, CITY OF",Barton,Coon-Pickerel,11030004,1st Congressional District,KS,7,MAP
RANSOM WWTP,20001335001,,,,"$499,458",,,,,,,,,,,,,,"$499,458",,.034,.037,.035,338,,,,338,0,338,344,,,,344,0,344,KS0031453,Individual Permit,"RANSOM, CITY OF",Ness,Lower Walnut Creek,11030008,1st Congressional District,KS,7,MAP
ROZEL WWTP,20001336001,,,,,,,,,,,,,,,,,,,,.018,.04,.04,164,,,,164,0,164,187,,,,187,0,187,,,"ROZEL, CITY OF",Pawnee,Pawnee,11030005,1st Congressional District,KS,7,MAP
