AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,PDF_File,Shared_PDF,Comminution,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified Activated Sludge,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Unspecified Lagoon,AO,A2O,MLE,UCT,FourStageBardenpho,FiveStageBardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,Unspecified Nature-Based Solution,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,Land Application,Stabilization Pond,Biosolids Lagoon,Biosolids Landfill,Unspecified Disposal,MHI,FBI,Unspecified Incineration,Biogas Production,Cogeneration,Heat Recovery
Colton/San Bernardino RTT&WRA,"Colton/San Bernadino STP, RIX",,13-0032_Coton-San_Bernardino_RTT_Water_Reclam_Auth.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escondido City,HARRF DISCH to San Elijo Ocean Outfall,,CA0107981_OrderR920180002.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,present_and_future,present,present,0,0,0,0,0,0,0,0,0,0,present_and_future,present_and_future,0,0,0,present_and_future,0,0,0,0,0,present,future,future,present_and_future,0,present,0,0,0,future,0,0,0,present,0,0,0,0,0,0,0
Fort Bragg City,Fort Bragg City WWTP,,19_0020_FortBragg_NPDES.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,present,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,present,0,0,0,0,0,present,present,present,present,0,present,0,0,0,present,0,0,present,0,0,0,0,0,0,0
Fortuna City,Fortuna City WWTP,,17_0005_Fortuna_NPDES.pdf,No,0,present,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goleta SD,Goleta SD WWTP,,R3-2017-021_Goleta_finalCA0048160.pdf,No,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,present,present,present,present,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
Las Virgenes MWD,Tapia WRF,,4760_R4-2017-0124_WDR_PKG.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,future,0,future,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,present,0,0,0,0,0,0,present,present,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0
Pismo Beach City,Pismo Beach WWTP,,2015_0016_npdes.pdf.pdf,No,0,0,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Bernardino City Municipal Water Dept,Margaret H Chandler WWRF,,R8-2017-0049_SBMWDWRF.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Diego City Metropolitan Wastewater Dept (Public Utilities),Point Loma WWTP & Ocean Outfall,,PtLomaWWTP_2017FinalOrder.pdf,No,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,present,present,0,0,present,present,present,present,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
San Elijo Joint Powers,San Elijo Water Campus,,CA0107999_OrderR920180003.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
San Francisco Public Utilities Commission,"SF-SE Water Pollution Control Plant, N-Point & Bayside",CA0038873,R2-2013-0029.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,future,0,present,present,0,0,0,present,present,present,0,present,0,0,present_and_future,present,0,0,0,present,0,0,0,0,0,0,0
Simi Valley City,Simi Valley WQCP,,3021_R4-2019-0135_WDR_PKG.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
South County Regional WW Authority,SCRWA WWTP,,SCRWA 2017 adopted.pdf,No,0,0,present,0,present,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,present_and_future,present,present_and_future,0,0,present_and_future,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0
South San Luis Obispo CSD,South San Luis Obispo SD WWTP,,So_SLO_Order R3-2019-0002_final.pdf,No,0,present,present_and_future,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temescal Valley Water District,Temescal Valley WD WWRF,,12-0028_Lee_Lake_Water_Dist_WDR.pdf,No,0,0,present,present,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,present,present,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0
Thousand Oaks City,Hill Canyon WWTP,,4917_R4-2019-0137_WDR.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,present,0,0,0,present,present,present,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Watsonville City,Watsonville WWTP,,Watsonville WWTP 14-0006 FINAL.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,present,present,present,present,0,present,0,present,present,0,0,0,present,0,0,0,0,0,0,0
Woodland City,Woodland Water Pollution Control Facility,,r5-2020-0015_npdes.pdf,No,0,0,present,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,present,present,present,0,0,0,0,0,0,0
Yucaipa Valley Water District,Henry N. Wochholz WWRF,,R8-2015-0027_YVWD_Henry_N_Wochholz_RWRF.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,0,present,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,present,present,present,present,0,0,0,present,0,present,0,0,present,0,0,0,0,0,0,0
