Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,CAF Population,CAF Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,Unnamed: 29
Ca Dept of Parks & Rec Lebec,"Po Box 895, Lebec, CA 93243",Colonel Allensworth State Historic Park,"Grant and Avenue 42, Allensworth, CA 93219",35.8632,-119.39032,Wastewater Treatment Facility,7011,Tulare,5F,"WDRMUNIENROTH, WDRMUNIOTH",Active,Enrollee - WDR,97-010-DWQ,5D540700003,,,05/12/2014,,2029-05-12,.033,,C,3,,,,0,0,
CA Dept of Trans D6 Bakersfield R5F,"1226 Olive Drive, Bakersfield, CA 93308",Philip S Raine SRRA,"Fwy 99 3 miles north of Tipton, CA 93272",36.1067,-119.3239,Wastewater Treatment Facility,7299,Tulare,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5D540801001,,,09/26/2022,,2029-09-23,0.035,,B,3,,,,0,0,
USDI National Park Service Sequoia & Kings Canyon,"47050 Generals Highway, Three Rivers, CA 93271",Clover Creek WWTF,"Lodgepole Area, CA 93262",36.605664,-118.750193,Wastewater Treatment Facility,7999,Tulare,5F,WDRMUNIOTH,Active,WDR,2014-0153-DWQ-R5342,5D541003003,,08/12/2020,08/12/2020,,2035-08-12,0.095,,C,3,,,,0,0,
USDI National Park Service Sequoia & Kings Canyon,"47050 Generals Highway, Three Rivers, CA 93271",Ash Mountain WWTF,"Ash Mountain, CA",36.490311,-118.830268,Wastewater Treatment Facility,7999,Tulare,5F,"WDRMUNIENROTH, WDRMUNIOTH",Active,Enrollee - WDR,2014-0153-DWQ,5D541003004,,,11/03/2025,,2029-09-23,,,C,2,,,,0,4,
"Smith, Myron","Po Box A, Taft, CA 93268",Quail Valley REC Park,"40587 Hot Springs Road, Calif Hot Springs, CA 00026",35.87481,-118.69996,Wastewater Treatment Facility,7033,Tulare,5F,WDRMUNIOTH,Active,WDR,99-143,5D541009001,,10/29/1999,10/29/1999,,2014-10-25,.005,,C,3,,,,0,0,
Tulare Cnty Housing Authority,"Po Box 791, Visalia, CA 93279",Linnell Farm Labor Center,"1436-3 North Mariposa Avenue, Visalia, CA 93292",36.30957,-119.22437,Wastewater Treatment Facility,0761,Tulare,5F,WDRMUNILRG,Active,WDR,82-007,5D541012001,,01/22/1982,01/22/1982,,1997-01-18,.13,,B,3,,,,1,1,
Deer Meadow Leachfield Service,"Po Box 803, Three Rivers, CA 93271",Deer Meadow Leachfield,"Three Rivers, Three Rivers, CA 93271",36.44952,-118.7198,Wastewater Treatment Facility,4953,Tulare,5F,"WDRMUNIENROTH, WDRMUNIOTH",Active,Enrollee - WDR,97-010-DWQ,5D541013001,,,01/29/1999,,2014-01-29,.008,,C,3,,,,0,0,
"Hannegan, Joe & Brad","29198 Highway 190, Porterville, CA 93257",Lakeside Trailer Park,"29198 Hwy 190, Porterville, CA 93257",36.05502,-118.92204,Wastewater Treatment Facility,6515,Tulare,5F,WDRMUNIOTH,Active,WDR,99-106,5D541020001,,07/28/1999,07/28/1999,,2014-07-24,.017,,C,3,,,,0,0,
Badger Hill Association,"1 High Sierra Drive, Exeter, CA 93221",Badger Hill Septic Tank Management Program,"Rocky Hill, Exeter, CA 93221",36.2959,-119.10199,Wastewater Treatment Facility,6552,Tulare,5F,WDRMUNIOTH,Active,WDR,95-042,5D541023001,,02/24/1995,02/24/1995,,2010-02-20,.039,,C,3,,,,0,0,
Richgrove CSD,"Po Box 300, Richgrove, CA 93261",Richgrove WWTF,"Along Southern Pacific Railroad, Richgrove, CA 93215",35.79521,-119.11223,Wastewater Treatment Facility,4952,Tulare,5F,WDRMUNILRG,Active,WDR,83-088,5D541024001,,08/12/1983,08/12/1983,,1998-08-08,.22,,B,3,,,,2,40,
"Cox, Randy & Diane","10679 Orangebelt Drive, Porterville, CA 93277",Deer Creek RV Park,"10679 Orange Belt Drive, Terra Bella, CA 93257",35.98334,-119.04905,Wastewater Treatment Facility,7032,Tulare,5F,WDRMUNIOTH,Active,WDR,99-107,5D541041001,,07/28/1999,07/28/1999,,2014-07-24,.0078,,C,3,,,,0,0,
Hartland Christian Association,"57611 Eshom Valley Dr, Badger, CA 93603",Hartland Christian OWTS,"57611 Eshom Valley, Badger, CA 00026",36.65179,-118.95709,Wastewater Treatment Facility,4952,Tulare,5F,"WDRMUNIOTH, WDRMUNIOWTS",Active,Enrollee - WDR,97-010-DWQ,5D541048001,,,01/17/2014,,2029-01-17,0.026,,B,3,,,,0,2,
River Island East HOA,"32903 Riverside Drive, Springville, CA 93265",River Island East WWTF,"31989 River Island, Porterville, CA 93257",36.100597,-118.850604,Wastewater Treatment Facility,4952,Tulare,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5D541049001,,,03/17/2020,,2029-09-23,.01,,C,3,,,,0,6,
Markleeville PUD,"Po Box 222, Markleeville, CA 96120",Markleeville Wstwtr Trtmnt Sys,"14777 CA 89 Highway, Markleeville, CA 96120",38.695069,-119.7759479,Wastewater Treatment Facility,4952,Alpine,6T,WDRMUNIOTH,Active,WDR,95-022,6A020008000,,02/09/1995,02/09/1995,,2025-08-30,.04,,C,2,,,,0,3,
Washoe Tribe of Nevada & California,"919 Hwy 395, Gardnerville, NV 89410",Woodfords Indian Colony WTDF,"96 Washo Boulevard, Woodfords, CA 96120",38.7983716,-119.74823,Wastewater Treatment Facility,4952,Alpine,6T,WDRMUNIOTH,Active,WDR,95-021,6A020013000,,02/09/1995,02/09/1995,,2000-02-10,.0055,,C,2,,,,0,5,
South Tahoe PUD,"1275 Meadow Crest Drive, South Lake Tahoe, CA 96150",STPUD WWTP,"1275 Meadow Crest Drive, South Lake Tahoe, CA 96150",38.921379,-119.971178,Wastewater Treatment Facility,4952,El Dorado,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6A021008003,,,07/09/2020,,,,,,,,,,3,2,
Leavitt Lake CSD,"471 830 Buffum Lane, Susanville, CA 96130",Leavitt Lake Sewage Treatment Ponds,"471-830 Buffum Lane, Susanville, CA 96130",40.374337,-120.519579,Wastewater Treatment Facility,4952,Lassen,6T,"WDRMUNILRG, WDRMUNIOTH",Active,WDR,96-018,6A180004501,,03/14/1996,03/14/1996,,2002-03-15,.049,,C,2,,,,5,8,
US Army Sierra Army Depot,"74 C Street Building 63, Herlong, CA 96113",Sierra Army Depot Sewage Treatment Plant,"Sierra Army Depot, Herlong, CA",40.1544823,-120.1376009,Wastewater Treatment Facility,4952,Lassen,6T,WDRMUNILRG,Active,WDR,01-025,6A180020000,,05/10/2001,05/10/2001,,2006-05-11,.16,,C,2,,,,4,4,
Herlong PUD,"Po Box 115, Herlong, CA 96113",Herlong Public Utility District WWTF,"Poleline Road, Herlong, CA 96113",40.1601647,-120.176765,Wastewater Treatment Facility,4952,Lassen,6T,WDRMUNILRG,Active,WDR,R6T-2016-0036,6A180208004,,06/09/2016,06/09/2016,,2026-06-09,0.375,,C,2,,,,0,1,
Spalding Community Service District,"502 907 Mahogany Way, Susanville, CA 96130",Spalding Tract Sewer System,"Eagle Lake Road, Spalding, CA 96130",40.68568,-120.79955,Wastewater Treatment Facility,4952,Lassen,6T,WDRMUNIOTH,Active,WDR,R6T-2006-0020,6A180506011,,05/11/2006,05/11/2006,,2011-05-12,.0375,,C,3,,,,5,5,
Susanville SD,"45 Northwest Roop Street, Susanville, CA 96130",Susanville Sanitary District WWTP,"476-200 Bunyan Road, Susanville, CA 96130",40.41453,-120.63095,Wastewater Treatment Facility,4952,Lassen,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,6A181554001,,,07/09/2020,,,,Major,,,,,,10,31,
Ca Dept of Corrections & Rehabilitation,"9838 Old Placerville Road B, Sacramento, CA 95827","CCC @ Susanville, CSP-LC WTF","PO Box 790, Susanville, CA 96130",40.4021,-120.51432,Wastewater Treatment Facility,4952,Lassen,6T,WDRMUNILRG,Active,WDR,R6T-2008-0024,6A186000500,,07/23/2008,07/23/2008,,2013-07-24,1.8,,B,2,,,,2,2,
Stones-Bengard CSD,"509 695 Stone Road, Susanville, CA 96130",Stones-Bengard Sewage Treatment Ponds,"Stones Subdivision, Susanville, CA 96130",40.7204613,-120.7409477,Wastewater Treatment Facility,4952(+),Lassen,6T,WDRMUNIOTH,Active,WDR,R6T-2014-0048,6A188812008,,06/18/2014,06/18/2014,,2024-06-18,.004,,C,3,,,,0,0,
US Marine Corps Coleville,"700 Champagne Avenue, Coleville, CA 96107",USMC-MWTC WWTC,"MWTC HC83, Bridgeport, CA 93517",38.35765,-119.51451,Wastewater Treatment Facility,4952,Mono,6T,WDRMUNILRG,Active,WDR,93-072,6A260154101,,08/12/1993,08/12/1993,,1998-08-13,.14,,B,2,,,,5,5,
Bridgeport PUD,"Po Box 473, Bridgeport, CA 93517",Bridgeport PUD Treatment Plant,"PO Box 91, Bridgeport, CA 93517",38.2681521,-119.209621,Wastewater Treatment Facility,4952,Mono,6T,WDRMUNILRG,Active,WDR,01-012,6A265300900,,03/14/2001,03/14/2001,,2006-03-15,.2,,B,2,,,,1,2,
Tahoe Truckee Sanitation Agency,"Po  Box 669 Drive, Truckee, CA 96160-0669",Tahoe Truckee Sanitation Agency,"13720 Butterfield Drive, Truckee, CA 96161",39.3390439,-120.1277733,Wastewater Treatment Facility,4952,Nevada,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6A290011000,,,07/09/2020,,,,Major,,,,,,0,0,
Big Pine CSD,"Po Box 639, Big Pine, CA 93513",Big Pine STP,"0.5 Mi Ne of Big Pine, Big Pine, CA 93514",37.17189,-118.278224,Wastewater Treatment Facility,4952,Inyo,6V,WDRMUNILRG,Active,WDR,95-035,6B140100001,,03/09/1995,03/09/1995,,2005-03-09,.15,,B,2,,,,0,1,
Bishop City,"377 West Line Street 1236, Bishop, CA 93514",Bishop Sewage Treatment Plant,"Poletta, Bishop, CA 93514",37.356287,-118.374855,Wastewater Treatment Facility,4952,Inyo,SB,"SLIC, WDR, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B140101001,,,07/09/2020,,,,,,,,,,0,0,
Lone Pine CSD,"Po Box 36, Lone Pine, CA 93545",Lone Pine WWTF,"PO Box 36, Lone Pine, CA 93545",36.605982,-118.044725,Wastewater Treatment Facility,4952,Inyo,6V,WDRMUNILRG,Active,WDR,95-036,6B140104001,,03/09/1995,03/09/1995,,2005-03-09,.5,,C,2,,,,0,0,
Eastern Sierra CSD,"301 West Line Street Suite D, Bishop, CA 93514",Eastern Sierra CSD WWTF,"301 West Line Street, Bishop, CA 93514",37.355471,-118.369097,Wastewater Treatment Facility,4952,Inyo,6V,"REC, WDRMUNILRG",Active,WDR,94-024,6B140108001,,02/10/1994,02/10/1994,,2004-02-10,.85,,B,2,,,,0,269,
Hilton Creek CSD,"Rt 1 Box 1124, Crowley Lake, CA 93546",Hilton Creek CSD Package STP,"3222 Crowley Lake Drive, Crowley Lake, CA 93546",37.570569,-118.760306,Wastewater Treatment Facility,4952,Mono,6V,WDRMUNIOTH,Active,WDR,04-018,6B140109001,,06/09/2004,06/09/2004,,2014-06-09,.087,,B,2,,,,1,0,
USDI National Park Service Death Valley  SW Village,"Po Box 579, Death Valley, CA 92328",Stovepipe Wells Village,"7 Mi W/O Hwy 190 & Rt 5 Jct, Death Valley, CA 92328",36.610282,-117.144411,Wastewater Treatment Facility,4952,Inyo,6V,"WDR, WDRMUNIOTH",Active,WDR,96-161,6B140704001,,11/08/1996,11/08/1996,,2011-11-08,.03,,C,3,,,,2,75,
USDI National Park Service Death Valley,"Death Valley National Park, Death Valley, CA 92328",DVNP Cow Creek RO Plant,"P.O. Box 579, Park Village, CA 92328",36.50885,-116.84794,Wastewater Treatment Facility,,Inyo,6V,WDRMUNIOTH,Active,WDR,R6-2026-0010,6B142509005,,05/06/2026,05/06/2026,,2076-05-13,,,,,,,,0,0,
Big Pine Indian Reservation,"Po Box 700, Big Pine, CA 93513",Big Pine Indian RES WTF,"825 S Main St, Big Pine, CA 93513",37.167149,-118.277024,Wastewater Treatment Facility,4952,Inyo,6V,"WDRMUNILRG, WDRMUNIOTH",Active,WDR,02-039,6B149107005,,06/14/2002,06/14/2002,,2012-06-14,0.047,,C,2,,,,0,1,
Desert Lake CSD,"12200 Del Oro Street, Boron, CA 93516",Desert Lake CSD WTF,"W of Boron, Boron, CA 93516",35.008962,-117.70697,Wastewater Treatment Facility,4952,Kern,6V,WDRMUNILRG,Active,WDR,01-055,6B150103001,,10/10/2001,10/10/2001,,2016-10-10,.14,,B,3,,,,0,0,
Inyokern CSD,"Po Box 1418, Inyokern, CA 93527",Inyokern CSD WTF,"Northeast Of Inyokern, Inyokern, CA 93527",35.66359,-117.81366,Wastewater Treatment Facility,4952,Kern,6V,WDRMUNILRG,Active,WDR,93-077,6B150104001,,08/12/1993,08/12/1993,,2003-08-12,.15,,C,2,,,,0,0,
Mojave PUD,"15844 K Street, Mojave, CA 93501",Mojave STP,"Se of Mojave, Mojave, CA 93501",35.030014,-118.146276,Wastewater Treatment Facility,4952,Kern,6V,WDRMUNILRG,Active,WDR,01-036,6B150111001,,06/13/2001,06/13/2001,,2011-06-13,.6,,B,2,,,,0,0,
Rosamond CSD,,Rosamond WTF (Ponds),"875 Southeast Patterson Road, Rosamond, CA 93560",34.83554,-118.14903,Wastewater Treatment Facility,4952,Kern,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B150112001,,,07/09/2020,,,,,,,,,,2,8,
Ridgecrest City,"100 West California Avenue, Ridgecrest, CA 93555",Ridgecrest WTF,"Pole Line Rd and Knox Rd, China Lake, CA 93555",35.670026,-117.638706,Wastewater Treatment Facility,4952,Kern,SB,"REC, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B150116001,,,07/09/2020,,,,,,,,,,0,3,
California City,"21000 Hacienda Boulevard, California City, CA 93505",California City WTF,"10835 Nelson Drive, California City, CA 93595",35.14196,-117.935665,Wastewater Treatment Facility,4952,Kern,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B150118001,,,07/09/2020,,,,,,,,,,0,0,
Boron CSD,"Po Box 1060, Boron, CA 93596",Boron STP,"West Boron, Boron, CA 93596",35.003954,-117.676913,Wastewater Treatment Facility,4952,Kern,6V,"WDRMUNILRG, WDRNONMUNIPRCS",Active,WDR,02-037,6B150126001,,06/12/2002,06/12/2002,,2017-06-12,.21,,B,3,,,,0,0,
Los Angeles Cnty Sanitation District 14,"Po Box 4998, Whittier, CA 90607-4998",Lancaster Water Reclamation Plant,"1865 W Ave D, Lancaster, CA 93534",34.781603,-118.158364,Wastewater Treatment Facility,4952,Los Angeles,6V,"SLIC, WDRMUNILRG, WDRMUNIOTH, WDRMUNIOWTS",Active,WDR,R6V-2022-0023,6B190107017,,06/08/2022,06/08/2022,,,18,,A,1,,,,0,1,
Los Angeles Cnty Sanitation District 20,"Po Box 4998, Whittier, CA 90607",Palmdale Water Reclamation Plant,"39300 30th St E & Ave P Street, Palmdale, CA 93550",34.596859,-118.069945,Wastewater Treatment Facility,4952,Los Angeles,SB,"REC, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B190107069,,,07/09/2020,,,,,,,,,,0,0,
June Lake PUD,"Po Box 99, June Lake, CA 93529",June Lake PUD STP,"45125 Highway 395, June Lake, CA 93529",37.875698,-119.092331,Wastewater Treatment Facility,4952,Mono,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B260101002,,,07/09/2020,,,,,,,,,,0,0,
Lee Vining PUD,"Po Box 266, Lee Vining, CA 93541",Lee Vining WTF,"Hwy 395, Lee Vining, CA 93541",37.96086,-119.11831,Wastewater Treatment Facility,4952,Mono,6V,WDRMUNIOTH,Active,WDR,84-090,6B260102001,,07/13/1984,07/13/1984,,1999-07-13,.076,,B,3,,,,1,0,
Mammoth Water District,"Po Box 597, Mammoth Lakes, CA 93546",Mammoth CWD STP,"1315 Meridian Boulevard, Mammoth Lakes, CA 93546",37.639349,-118.944544,Wastewater Treatment Facility,4952,Mono,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B260103001,,,07/09/2020,,,,,,,,,,1,1,
Mammoth Mountain Ski Area LLC,"Po Box 24, June Lake, CA 93529",Mammoth Mtn Ski Area WTF,"1315 Meridian Boulevard, Mammoth Lakes, CA 93546",37.655602,-119.037096,Wastewater Treatment Facility,7996(+),Mono,6V,"WDR, WDRMUNIOTH",Active,WDR,00-017,6B261026001,,03/09/2000,03/09/2000,,2015-03-09,.06,,B,3,,,,1,36,
Baker CSD,"Po Box 590, Baker, CA 92309",Baker WTF,"Kelbaker Rd & I-15, Baker, CA 92309",35.259279,-116.072756,Wastewater Treatment Facility,4952,San Bernardino,6V,WDRMUNILRG,Active,WDR,97-095,6B360100001,,10/08/1997,10/08/1997,,2012-10-08,.4,,B,3,,,,1,65,
Barstow City,"220 East Mt View Street, Barstow, CA 92311",Barstow WWTP,"2200 E Riverside Dr, Barstow, CA 92311",34.884568,-116.980925,Wastewater Treatment Facility,4952,San Bernardino,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B360101001,,,07/09/2020,,,,,,,,,,0,0,
Crestline SD,"Po Box 3395, Crestline, CA 92325",Crestline SD Three WTF's,"24516 Lake Drive, Crestline, CA 92325",34.254284,-117.270822,Wastewater Treatment Facility,4952,San Bernardino,6V,"REC, WDRMUNILRG",Active,WDR,94-057,6B360106001,,05/19/1994,05/19/1994,,2004-05-19,1.4,,B,2,,,,0,0,
Lake Arrowhead Community Services District,"Po Box 700, Lake Arrowhead, CA 92352",Lake Arrowhead CSD WTFS,"West Ridge and Hesperia Lane Street, Lake Arrowhead, CA 92352",34.286859,-117.219578,Wastewater Treatment Facility,4952,San Bernardino,SB,"REC, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B360107001,,,07/09/2020,,,,,,,,,,0,23,
Victor Valley Wastewater Reclamation Authority,"20111 Shay Road, Victorville, CA 92394",Victor Valley Wastewater Reclamation Authority WTP,"20111 Shay Road, Victorville, CA 92394",34.618009,-117.357746,Wastewater Treatment Facility,4952,San Bernardino,SB,"NPDMUNILRG, REC, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B360109001,,,07/09/2020,,,,Major,,,,,,2,9,
San Bernardino Cnty Airports - Dagget,"12402 Industrial Boulevard Unit D6, Victorville, CA 92393-5004",Barstow/Daggett Airport WTF,"39500 National Trails Hwy, Daggett, CA 92327",34.864554,-116.784148,Wastewater Treatment Facility,4952,San Bernardino,6V,WDRMUNILRG,Active,WDR,99-037,6B360115002,,09/09/1999,09/09/1999,,2009-09-09,.15,,C,2,,,,0,1,
San Bernardino Cnty CSA 82,"222 West Hospitality  Lane 2nd Floor, San Bernardino, CA 92415",Trona & Pioneer Point WTF,"Trona Road, Searles Valley, CA 93562",35.789039,-117.36373,Wastewater Treatment Facility,4952,San Bernardino,6V,WDRMUNILRG,Active,WDR,94-059,6B360115010,,05/19/1994,05/19/1994,,2004-05-19,.247,,B,2,,,,0,0,
Victor Valley Wastewater Reclamation Authority,"20111 Shay Road, Victorville, CA 92394",VVWRA- Sub-Regional Plant-Hesperia,"Intersection of Mojave Rd & Tamarisk Road, Hesperia, CA",34.442628,-117.352494,Wastewater Treatment Facility,4952,San Bernardino,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B360907005,,,07/09/2020,,,,,,,,,,0,1,
Victor Valley Wastewater Reclamation Authority,"20111 Shay Road, Victorville, CA 92394",VVWRA Sub-Regional Plant-Apple Valley,"21012 Otoe Road, Apple Valley, CA",34.544278,-117.204514,Wastewater Treatment Facility,4952,San Bernardino,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B360907006,,,07/09/2020,,,,,,,,,,0,0,
Victorville City,"14343 Civic Drive, Victorville, CA 92392-2399",SCLA Central WWTP-Victorville Water Dist,"14343 Civic Center Drive, Victorville, CA 92392",34.614722,-117.373056,Wastewater Treatment Facility,4952,San Bernardino,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B360911001,,,07/09/2020,,,,,,,,,,0,1,
Helendale CSD,"Po Box 2608, Helendale, CA 92342",Helendale Silverlakes STP,"Wild Road and Helendale Road, Helendale, CA 92342",34.775366,-117.328502,Wastewater Treatment Facility,4952,San Bernardino,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B361111001,,,07/09/2020,,,,,,,,,,0,2,
CA Dept of Transportation DO8 (San Bernardino-Riverside Office) Caltrans,"464 West 4th Street 8th Floor Ms833, San Bernardino, CA 92401",Valley Wells Rest Area,"C8M2+G6, Yucca Grove, CA 92364",35.43651,-115.70034,Wastewater Treatment Facility,,San Bernardino,6V,WDRMUNILRG,Active,WDR,R6V-2021-0022,6B361809001,,05/13/2021,05/13/2021,,2026-05-11,,,C,3,,,,0,0,
Adelanto Public Utility Authority,"11600 Air Base Road, Adelanto, CA 92301",Adelanto WWTP,"Ne Corner of Auburn & Jonathan, Adelanto, CA 92301",34.595221,-117.408261,Wastewater Treatment Facility,4952,San Bernardino,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,6B369805001,,,07/09/2020,,,,,,,,,,1,1,
Brawley City,"180 South Western Avenue, Brawley, CA 92227",Brawley City WWTP,"5015 Best Road, Brawley, CA 92227",33.01713,-115.51704,Wastewater Treatment Facility,4952,Imperial,7,"NPDMUNILRG, SLIC",Active,NPDES Permit,R7-2021-0005,7A130100011,CA0104523,06/15/2021,07/01/2021,,2026-06-30,6,Major,A,1,,,,2,20,
Calexico City ,"608 Heber Avenue, Calexico, CA 92231-2840",Calexico City WWTP,"298 East Anza Road, Calexico, CA 92231",32.664611,-115.550889,Wastewater Treatment Facility,4952,Imperial,7,"NPDMUNILRG, SLIC",Active,NPDES Permit,R7-2025-0007,7A130101011,CA7000009,04/01/2025,05/01/2025,,2029-05-30,4.3,Major,A,1,,,,3,41,
Calipatria City,"125 North Park Avenue, Calipatria, CA 92233",Calipatria City WWTP,"106 Lindsey Road, Calipatria, CA 92233",33.1478,-115.55137,Wastewater Treatment Facility,4952,Imperial,7,"NPDMUNILRG, SLIC",Active,NPDES Permit,R7-2020-0010,7A130102041,CA0105015,11/12/2020,12/01/2020,,2025-11-30,1.7,Major,A,2,,,,1,8,
El Centro City,"1275 Main Street, El Centro, CA 92243",El Centro City WWTP,"2255 La Brucherie Road, El Centro, CA 92243",32.8145,-115.578194,Wastewater Treatment Facility,4952,Imperial,7,"NPDMUNILRG, SLIC",Active,NPDES Permit,R7-2024-0041,7A130103011,CA0104426,12/10/2024,01/02/2025,,2030-01-01,8,Major,A,1,,,,0,4,
Heber PUD,"1078 Dogwood Road 103, Heber, CA 92249",Heber PUD WWTP,"1184 Rockwood Avenue, Heber, CA 92249",32.736639,-115.523917,Wastewater Treatment Facility,4952,Imperial,7,NPDMUNIOTH,Active,NPDES Permit,R7-2022-0007,7A130104011,CA0104370,06/14/2022,07/01/2022,,2027-06-30,.81,"Major, Minor",B,2,,,,1,9,
Holtville City,"121 West 5th Street, Holtville, CA 92250",Holtville City WWTP,"1250 Kamm Road, Holtville, CA 92250",32.82572,-115.42993,Wastewater Treatment Facility,4952,Imperial,7,NPDMUNIOTH,Active,NPDES Permit,R7-2022-0005,7A130105011,CA0104361,02/08/2022,03/01/2022,,2027-04-30,.85,Minor,B,2,,,,1,3,
Imperial City,"420 South Imperial Avenue, Imperial, CA 92251",Imperial City WWTP,"701 East 14th Street, Imperial, CA 92251",32.853917,-115.56275,Wastewater Treatment Facility,4952,Imperial,7,"NPDMUNILRG, SLIC",Active,NPDES Permit,R7-2021-0002,7A130106011,CA0104400,04/13/2021,05/01/2021,,2026-04-30,2.4,Major,A,2,,,,1,0,
Niland County Sanitation District,"155 South 11th Street, El Centro, CA 92243",Niland SD WWTP,"125 West Alcott Road, Niland, CA 92257",33.227333,-115.561667,Wastewater Treatment Facility,4952,Imperial,7,NPDMUNIOTH,Active,NPDES Permit,R7-2025-0017,7A130109011,CA0104451,07/01/2025,08/01/2025,,2030-07-31,.5,Minor,B,2,,,,2,17,
Salton Community Services Dist,"Po Box 5268, Salton City, CA 92275",SCSD Desert Shores WWTP,"Cooledge Springs Rd/Hwy 86, Desert Shores, CA 92274",,,Wastewater Treatment Facility,4952,Imperial,7,WDRMUNILRG,Active,WDR,R7-2025-0016,7A130110031,,06/03/2025,06/03/2025,,2040-06-03,.2,,B,3,,,,3,52,
Seeley Cnty WD,"Po Box 161, Seeley, CA 92273",Seeley CWD WWTP,"1898 West 5th Street, Seeley, CA 92273",32.79427,-115.69997,Wastewater Treatment Facility,4952,Imperial,7,NPDMUNIOTH,Active,NPDES Permit,R7-2023-0003,7A130111013,CA0105023,06/27/2023,08/01/2023,,2028-07-30,.25,Minor,B,2,,,,1,70,
Westmorland City,"Po Box 699, Westmorland, CA 92281",Westmorland City WWTP,"5295 Martin Road, Westmorland, CA 92281",33.037306,-115.630083,Wastewater Treatment Facility,4952,Imperial,7,NPDMUNIOTH,Active,NPDES Permit,R7-2023-0002,7A130112012,CA0105007,03/14/2023,04/01/2023,,2028-03-31,.5,Minor,B,2,,,,0,4,
Salton Community Services Dist,"Po Box 5268, Salton City, CA 92275",SCSD Thomas R. Cannell WWTP,"2196 Palm View Avenue, Salton City, CA 92275",,,Wastewater Treatment Facility,,Imperial,7,"CERFILLEXC, WDRMUNILRG",Active,WDR,R7-2024-0020,7A130117001,,06/11/2024,06/11/2024,,2039-06-11,0.25,,B,3,,,,4,37,
Imperial CCD,"Po Box 158, Imperial, CA 92251-0158",Imperial CCD WWTP,"380 East Aten Road, Imperial, CA 92251",32.825361,-115.567417,Wastewater Treatment Facility,8222,Imperial,7,"NPDMUNIOTH, WDRMUNILRG",Active,WDR,R7-2025-0019,7A130135001,,07/01/2025,07/01/2025,,2040-07-01,0.100,Minor,B,3,,,,0,0,
McCabe USD,"701 West Mccabe Road, El Centro, CA 92243",McCabe Municipal WWTP,"701 West McCabe Road, El Centro, CA 92243",,,Wastewater Treatment Facility,,Imperial,7,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,7A130136001,,,02/10/2026,,2029-09-23,,,B,3,,,,0,0,
US Customs & Border Protection,"211 West Aten Road, Imperial, CA 92251",Calexico Border Patrol Station,"536 Barbara Worth Road, Calexico, CA",32.689499,-115.430999,Wastewater Treatment Facility,,Imperial,7,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,7A130139001,,,12/13/2019,,2034-12-13,,,B,3,,,,0,0,
US Navy Naval Air Station El Centro,"1605 3rd Street 504, El Centro, CA 92243",US Navy Naval Air Facility WWTP,"1605 3rd Street B 504, El Centro, CA 92243",32.83863,-115.68086,Wastewater Treatment Facility,4952,Imperial,7,"DODNPDESWW, NPDMUNIOTH",Active,NPDES Permit,R7-2021-0045,7A130703011,CA0104906,11/02/2021,12/01/2021,,2026-11-30,.34,Minor,B,2,,,,0,14,
